t_s,V_volts,i_medido_A,w_medido_rad_s,i_verdadeiro_A,w_verdadeiro_rad_s
0.043200,12.000000,7.763672,61.359232,7.750268,64.087972
0.043400,12.000000,7.778320,61.359232,7.739745,64.362682
0.043600,12.000000,7.727051,61.359232,7.729238,64.636995
0.043800,12.000000,7.697754,61.359232,7.718745,64.910913
0.044000,12.000000,7.705078,76.699039,7.708268,65.184437
0.044200,12.000000,7.705078,61.359232,7.697806,65.457565
0.044400,12.000000,7.690430,61.359232,7.687359,65.730300
0.044600,12.000000,7.646484,61.359232,7.676927,66.002642
0.044800,12.000000,7.668457,76.699039,7.666509,66.274591
0.045000,12.000000,7.661133,61.359232,7.656107,66.546148
0.045200,12.000000,7.719727,61.359232,7.645720,66.817313
0.045400,12.000000,7.690430,76.699039,7.635348,67.088087
0.045600,12.000000,7.602539,61.359232,7.624991,67.358471
0.045800,12.000000,7.602539,76.699039,7.614649,67.628465
0.046000,12.000000,7.558594,61.359232,7.604321,67.898069
0.046200,12.000000,7.573242,61.359232,7.594009,68.167285
0.046400,12.000000,7.595215,76.699039,7.583711,68.436113
0.046600,12.000000,7.609863,61.359232,7.573428,68.704553
0.046800,12.000000,7.543945,76.699039,7.563160,68.972605
0.047000,12.000000,7.536621,61.359232,7.552907,69.240272
0.047200,12.000000,7.478027,76.699039,7.542669,69.507552
0.047400,12.000000,7.529297,61.359232,7.532445,69.774447
0.047600,12.000000,7.492676,76.699039,7.522236,70.040957
0.047800,12.000000,7.492676,76.699039,7.512042,70.307083
0.048000,12.000000,7.478027,61.359232,7.501863,70.572825
0.048200,12.000000,7.485352,76.699039,7.491698,70.838184
0.048400,12.000000,7.426758,61.359232,7.481548,71.103160
0.048600,12.000000,7.426758,76.699039,7.471412,71.367755
0.048800,12.000000,7.521973,76.699039,7.461291,71.631967
0.049000,12.000000,7.412109,61.359232,7.451185,71.895799
0.049200,12.000000,7.404785,76.699039,7.441093,72.159250
0.049400,12.000000,7.485352,76.699039,7.431016,72.422321
0.049600,12.000000,7.507324,61.359232,7.420953,72.685013
0.049800,12.000000,7.375488,76.699039,7.410905,72.947326
0.050000,12.000000,7.390137,76.699039,7.400872,73.209261
0.050200,12.000000,7.397461,76.699039,7.390852,73.470819
0.050400,12.000000,7.434082,76.699039,7.380848,73.731999
0.050600,12.000000,7.338867,61.359232,7.370857,73.992802
0.050800,12.000000,7.353516,76.699039,7.360881,74.253229
0.051000,12.000000,7.375488,76.699039,7.350920,74.513281
0.051200,12.000000,7.353516,76.699039,7.340973,74.772958
0.051400,12.000000,7.316895,76.699039,7.331040,75.032261
0.051600,12.000000,7.316895,76.699039,7.321121,75.291189
0.051800,12.000000,7.272949,76.699039,7.311217,75.549744
0.052000,12.000000,7.294922,76.699039,7.301327,75.807927
0.052200,12.000000,7.280273,61.359232,7.291451,76.065737
0.052400,12.000000,7.287598,76.699039,7.281590,76.323175
0.052600,12.000000,7.258301,76.699039,7.271743,76.580242
0.052800,12.000000,7.272949,76.699039,7.261910,76.836938
0.053000,12.000000,7.280273,76.699039,7.252091,77.093264
0.053200,12.000000,7.243652,92.038847,7.242286,77.349221
0.053400,12.000000,7.243652,76.699039,7.232496,77.604808
0.053600,12.000000,7.221680,76.699039,7.222719,77.860027
0.053800,12.000000,7.214355,76.699039,7.212957,78.114878
0.054000,12.000000,7.185059,76.699039,7.203209,78.369362
0.054200,12.000000,7.199707,76.699039,7.193474,78.623478
0.054400,12.000000,7.177734,76.699039,7.183754,78.877228
0.054600,12.000000,7.236328,76.699039,7.174048,79.130612
0.054800,12.000000,7.214355,76.699039,7.164356,79.383631
0.055000,12.000000,7.163086,92.038847,7.154678,79.636285
0.055200,12.000000,7.119141,76.699039,7.145013,79.888575
0.055400,12.000000,7.104492,76.699039,7.135363,80.140501
0.055600,12.000000,7.163086,76.699039,7.125727,80.392063
0.055800,12.000000,7.126465,76.699039,7.116104,80.643263
0.056000,12.000000,7.119141,92.038847,7.106496,80.894100
0.056200,12.000000,7.045898,76.699039,7.096901,81.144576
0.056400,12.000000,7.111816,76.699039,7.087320,81.394691
0.056600,12.000000,7.089844,92.038847,7.077753,81.644445
0.056800,12.000000,7.031250,76.699039,7.068200,81.893839
0.057000,12.000000,7.045898,76.699039,7.058660,82.142873
